"","Year","World CO2 emission in billion of Tons"
"1",1965,16.51
"2",1966,16.81
"3",1967,17.27
"4",1968,17.96
"5",1969,18.5
"6",1970,19.61
"7",1971,20.16
"8",1972,20.9
"9",1973,21.62
"10",1974,21.38
"11",1975,22.24
"12",1976,22.75
"13",1977,23.14
"14",1978,23.3
"15",1979,23.86
"16",1980,23.64
"17",1981,23.34
"18",1982,23.11
"19",1983,23.66
"20",1984,24.83
"21",1985,25.22
"22",1986,25.45
"23",1987,25.9
"24",1988,26.61
"25",1989,26.76
"26",1990,27.05
"27",1991,27.45
"28",1992,26.96
"29",1993,27.1
"30",1994,27.78
"31",1995,28.22
"32",1996,29
"33",1997,30.97
"34",1998,29.34
"35",1999,29.59
"36",2000,29.77
"38",2002,30.76
"39",2003,32.46
"40",2004,33.2
"41",2005,33.7
"42",2006,35.22
"43",2007,35.54
"44",2008,36.21
"45",2009,36.14
"46",2010,37.62
"47",2011,39.3
"48",2012,39.65
"49",2013,39.6
"50",2014,40.1
"51",2015,40.26
"52",2016,39.16
"53",2017,39.59
"54",2018,40.5
"55",2019,40.53
b, -77.5744394432875
a, 0.0416037142804769
