"","Year","World energy consumption in thousand of TWh"
"5",1969,62.95
"6",1970,66.38
"7",1971,68.75
"8",1972,72.02
"9",1973,75.67
"10",1974,76.08
"11",1975,76.5
"12",1976,80.17
"13",1977,82.8
"14",1978,85.4
"15",1979,88.1
"16",1980,87.6
"17",1981,87.34
"18",1982,86.97
"19",1983,88.32
"20",1984,92.16
"21",1985,94.43
"22",1986,96.37
"23",1987,99.48
"24",1988,102.98
"25",1989,104.88
"26",1990,106.16
"27",1991,106.97
"28",1992,107.82
"29",1993,108.62
"30",1994,110
"31",1995,112.19
"32",1996,115.29
"33",1997,116.42
"34",1998,117.21
"35",1999,119.31
"36",2000,122.07
"37",2001,123.18
"38",2002,125.58
"39",2003,129.5
"40",2004,135.01
"41",2005,139.05
"42",2006,142.6
"43",2007,146.57
"44",2008,148.04
"45",2009,145.88
"46",2010,152.25
"47",2011,155.56
"48",2012,157.29
"49",2013,159.96
"50",2014,161.07
"51",2015,162.02
"52",2016,164.08
"53",2017,166.82
"54",2018,171.24
"55",2019,173.34
b, -188.038222997563
a, 0.0996344597706568
